"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",0.12,-1.1,1.35,0.96
"KSNP3-CFSAN|collessPDA",0.02,-1.2,1.24,1
"LyveSET-CFSAN|collessPDA",0.25,-0.98,1.47,0.77
"KSNP3-Enterobase|collessPDA",-0.1,-1.33,1.12,0.97
"LyveSET-Enterobase|collessPDA",0.12,-1.1,1.35,0.96
"LyveSET-KSNP3|collessPDA",0.23,-0.99,1.45,0.81
"Enterobase-CFSAN|collessYule",0.46,-4.11,5.04,0.96
"KSNP3-CFSAN|collessYule",0.07,-4.51,4.65,1
"LyveSET-CFSAN|collessYule",0.93,-3.65,5.51,0.77
"KSNP3-Enterobase|collessYule",-0.39,-4.97,4.19,0.97
"LyveSET-Enterobase|collessYule",0.46,-4.11,5.04,0.96
"LyveSET-KSNP3|collessYule",0.86,-3.72,5.44,0.81
"Enterobase-CFSAN|gamma",0.1,-0.31,0.52,0.66
"KSNP3-CFSAN|gamma",0.04,-0.37,0.45,0.95
"LyveSET-CFSAN|gamma",0.05,-0.36,0.46,0.94
"KSNP3-Enterobase|gamma",-0.06,-0.47,0.35,0.89
"LyveSET-Enterobase|gamma",-0.06,-0.47,0.36,0.91
"LyveSET-KSNP3|gamma",0,-0.41,0.42,1
"Enterobase-CFSAN|sackinPDA",-0.17,-1.21,0.86,0.85
"KSNP3-CFSAN|sackinPDA",0.02,-1.01,1.05,1
"LyveSET-CFSAN|sackinPDA",0.19,-0.84,1.22,0.81
"KSNP3-Enterobase|sackinPDA",0.19,-0.84,1.22,0.81
"LyveSET-Enterobase|sackinPDA",0.36,-0.67,1.4,0.46
"LyveSET-KSNP3sackinPDA",0.17,-0.86,1.21,0.85
"Enterobase-CFSAN|sackinYule",-0.64,-4.51,3.23,0.85
"KSNP3-CFSAN|sackinYule",0.07,-3.8,3.94,1
"LyveSET-CFSAN|sackinYule",0.71,-3.15,4.58,0.81
"KSNP3-Enterobase|sackinYule",0.71,-3.15,4.58,0.81
"LyveSET-Enterobase|sackinYule",1.36,-2.51,5.23,0.46
"LyveSET-KSNP3|sackinYule",0.64,-3.23,4.51,0.85
"Enterobase-CFSAN|totalClusters",-0.5,-2.47,1.47,0.66
"KSNP3-CFSAN|totalClusters",-0.5,-2.47,1.47,0.66
"LyveSET-CFSAN|totalClusters",0,-1.97,1.97,1
"KSNP3-Enterobase|totalClusters",0,-1.97,1.97,1
"LyveSET-Enterobase|totalClusters",0.5,-1.47,2.47,0.66
"LyveSET-totalClusters",0.5,-1.47,2.47,0.66
"Enterobase-CFSAN|outbreakClusters",-0.5,-2.47,1.47,0.66
"KSNP3-CFSAN|outbreakClusters",-0.5,-2.47,1.47,0.66
"LyveSET-CFSAN|outbreakClusters",0,-1.97,1.97,1
"KSNP3-Enterobase|outbreakClusters",0,-1.97,1.97,1
"LyveSET-Enterobase|outbreakClusters",0.5,-1.47,2.47,0.66
"LyveSET-KSNP3|outbreakClusters",0.5,-1.47,2.47,0.66
